Phenotype,Phenotype_short,PhenotypeID,PGS,PGSCatalog_ID,Training_cohort,Notes
Standing Height,HEIGHT,"EFO_0004339",PGS002800,PGS002800,CSA,
Standing Height,HEIGHT,"EFO_0004339",PGS002801,PGS002801,AFR,
Standing Height,HEIGHT,"EFO_0004339",PGS002803,PGS002803,EAS,
Standing Height,HEIGHT,"EFO_0004339",PGS002804,PGS002804,EUR,
Standing Height,HEIGHT,"EFO_0004339",PGS002805,PGS002805,AMR,
Body Mass Index,BMI,"EFO_0004340",PGS005200,PGS005200,AFR,
Body Mass Index,BMI,"EFO_0004340",PGS005201,PGS005201,AMR,
Body Mass Index,BMI,"EFO_0004340",PGS005202,PGS005202,EAS,
Body Mass Index,BMI,"EFO_0004340",PGS005203,PGS005203,EUR,
Body Mass Index,BMI,"EFO_0004340",PGS005204,PGS005204,CSA,
FEV1/FVC,FEV1_FVC,"EFO_0004713",PGS003862,PGS003862,EUR,
FEV1/FVC,FEV1_FVC,"EFO_0004713",PGS003863,PGS003863,AFR,
FEV1/FVC,FEV1_FVC,"EFO_0004713",PGS003864,PGS003864,AMR,
FEV1/FVC,FEV1_FVC,"EFO_0004713",PGS003865,PGS003865,EAS,
LDL Cholesterol,LDL,"EFO_0004611",PGS000886,PGS000886,AFR,
LDL Cholesterol,LDL,"EFO_0004611",PGS000890,PGS000890,EAS,
LDL Cholesterol,LDL,"EFO_0004611",PGS000892,PGS000892,EUR,
LDL Cholesterol,LDL,"EFO_0004611",PGS000894,PGS000894,AMR,
LDL Cholesterol,LDL,"EFO_0004611",PGS000896,PGS000896,CSA,
HDL Cholesterol,HDL,"EFO_0004612",PGS003768,PGS003768,EUR,
HDL Cholesterol,HDL,"EFO_0004612",PGS003770,PGS003770,AFR,
HDL Cholesterol,HDL,"EFO_0004612",PGS003775,PGS003775,EAS,
HDL Cholesterol,HDL,"EFO_0004612",PGS003780,PGS003780,CSA,
Total Cholesterol,TC,"EFO_0004574",PGS003819,PGS003819,EUR,
Total Cholesterol,TC,"EFO_0004574",PGS003821,PGS003821,AFR,
Total Cholesterol,TC,"EFO_0004574",PGS003826,PGS003826,EAS,
Total Cholesterol,TC,"EFO_0004574",PGS003831,PGS003831,CSA,
Log triglycerides,LOG_TG,"EFO_0004530",PGS003802,PGS003802,EUR,
Log triglycerides,LOG_TG,"EFO_0004530",PGS003804,PGS003804,AFR,
Log triglycerides,LOG_TG,"EFO_0004530",PGS003809,PGS003809,EAS,
Log triglycerides,LOG_TG,"EFO_0004530",PGS003814,PGS003814,CSA,
Diastolic blood pressure,DBP,"EFO_0006336",PGS003961,PGS003961,AFR,
Diastolic blood pressure,DBP,"EFO_0006336",PGS003962,PGS003962,EAS,
Diastolic blood pressure,DBP,"EFO_0006336",PGS003963,PGS003963,EUR,
Systolic blood pressure,SBP,"EFO_0006335",PGS003965,PGS003965,AFR,
Systolic blood pressure,SBP,"EFO_0006335",PGS003966,PGS003966,EAS,
Systolic blood pressure,SBP,"EFO_0006335",PGS003967,PGS003967,EUR,
Type 2 Diabetes,T2D,"MONDO_0005148",PGS005243,PGS005243,AFR,
Type 2 Diabetes,T2D,"MONDO_0005148",PGS005245,PGS005245,EAS,
Type 2 Diabetes,T2D,"MONDO_0005148",PGS005246,PGS005246,EUR,
Type 2 Diabetes,T2D,"MONDO_0005148",PGS005244,PGS005244,AMR,
Type 2 Diabetes,T2D,"MONDO_0005148",PGS005247,PGS005247,CSA,
Asthma,ASTHMA,"MONDO_0004979",PGS005121,PGS005121,AFR,
Asthma,ASTHMA,"MONDO_0004979",PGS005128,PGS005128,EAS,
Asthma,ASTHMA,"MONDO_0004979",PGS005134,PGS005134,EUR,
Asthma,ASTHMA,"MONDO_0004979",PGS005140,PGS005140,SAS,
Testosterone,TST,"EFO_0004908",PGS_TST_M,,Male,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Testosterone,TST,"EFO_0004908",PGS_TST_F,,Female,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Urate,URT,"EFO_0004531",PGS_URT_M,,Male,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Urate,URT,"EFO_0004531",PGS_URT_F,,Female,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Creatinine,CRTN,"EFO_0004518",PGS_CRTN_M,,Male,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Creatinine,CRTN,"EFO_0004518",PGS_CRTN_F,,Female,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Waist-hip ratio,WHR,"EFO_0004343",PGS_WHR_M,,Male,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
Waist-hip ratio,WHR,"EFO_0004343",PGS_WHR_F,,Female,"PRS Inference using VIPRS. Sumstats from: https://zenodo.org/records/7222725"
